Source|string|50|Y|1;1||"Import: Value defined during implementation.  Example: ""Host"""
Action_Type|string|6|N|0;1|create,update|"""create""<br>""update""<br>If record is not available then it will create or if record is present then it will update."
Sequence_Number|string||N|0;1||Sequence Number for xml
Batch_ID|string|10|N|0;1||Sequencing Method for the Bridge Process.  Optional
Batch_Size|string||N|0;1||Future use
Reference_ID|string||N|0;1||Unique identification number used to identify the import message
User_ID|string||N|0;1||Future use
Password|string||N|0;1||Future use
Message_Type|string|40|Y|1;1||"""relationship"""
Company_ID|string|9|N|0;1||"Unique Company ID defined during implementation.  For example: ""10001"""
Msg_Locale|string|50|N|0;1||"Possible Import Values:<br>German(Switzerland),German(Germany),<br>Spanish(Mexico),English(US),English(United Kingdom),French(Canada),French(Switzerland),Chinese(PRC)"
Msg_Time_Zone|string|32|N|0;1||"Message time zone for non region specific fields; If not specified, defaults to DB Time Zone.  All region specific fields are assumed to be entered in the region’s time zone.  Accepts Java Timezone ID  <br>Ex.) America/Los_Angeles, America/New_York, US/Mountain, US/Central, Canada/Eastern"
Version|string|20|N|0;1||2018
Internal_Reference_ID|string|40|N|0;1||Unique tracking ID from sender’s side that is unique across all transmissions.
Internal_Date_Time_Stamp|string||N|0;1||Internal date (timestamp)
External_Reference_ID|string|40|N|0;1||If this message is in response to a previous message, tracking ID of original message. 
External_Date_Time_Stamp|string||N|0;1||External date (timestamp)
Destination|string||N|0;1||The destination system(s) to route the XML. Accepts comma separated values of valid destinations setup in IFEE/IFSE.